"","date","util"
"351",2015-10-31 13:18:00,1.666
"352",2015-11-01 18:18:00,6.62
"353",2015-11-02 15:28:00,1.592
"354",2015-10-29 09:33:00,0.886
"355",2015-11-02 18:33:00,3.042
"356",2015-11-02 00:48:00,18.292
"357",2015-11-02 04:18:00,3.282
"358",2015-10-30 17:38:00,5.21
"359",2015-10-30 19:33:00,6.74
"360",2015-10-30 00:38:00,14.512
"361",2015-10-30 15:48:00,5.226
"362",2015-10-29 05:03:00,2.066
"363",2015-10-31 23:13:00,49.258
"364",2015-10-28 23:38:00,16.342
"365",2015-10-29 09:48:00,0.92
"366",2015-10-29 23:03:00,20.474
"367",2015-10-31 20:18:00,27.11
"368",2015-11-01 05:03:00,4.442
"369",2015-10-29 18:33:00,4.89
"370",2015-11-02 08:58:00,0.892
"371",2015-10-30 10:13:00,0.968
"372",2015-10-29 05:48:00,1.732
"373",2015-10-30 04:03:00,3.478
"374",2015-11-01 18:13:00,8.08
"375",2015-11-01 06:08:00,2.528
"376",2015-10-29 00:03:00,17.608
"377",2015-10-31 04:03:00,5.84
"378",2015-11-01 08:08:00,1.2
"379",2015-10-31 02:43:00,10.442
"380",2015-11-01 22:08:00,22.576
"381",2015-10-30 02:23:00,7.214
"382",2015-10-29 04:43:00,2.01
"383",2015-10-29 03:38:00,3.26
"384",2015-10-29 14:18:00,1.874
"385",2015-10-31 19:23:00,15.284
"386",2015-10-31 09:48:00,0.884
"387",2015-11-01 16:28:00,3.918
"388",2015-10-30 03:18:00,4.468
"389",2015-11-02 07:28:00,1.01
"390",2015-10-31 00:03:00,36.524
"391",2015-11-01 17:48:00,5.99
"392",2015-10-31 14:08:00,1.7
"393",2015-11-01 14:53:00,1.468
"394",2015-11-02 13:23:00,1.002
"395",2015-10-29 00:28:00,14.24
"396",2015-10-29 02:13:00,7.374
"397",2015-10-30 07:53:00,1.016
"398",2015-11-01 06:03:00,3.224
"399",2015-11-02 17:08:00,2.976
"400",2015-11-02 20:08:00,4.408
"401",2015-11-01 01:53:00,16.416
"402",2015-11-01 17:08:00,5.41
"403",2015-10-29 08:53:00,0.976
"404",2015-11-02 22:33:00,9.466
"405",2015-10-29 22:18:00,18.792
"406",2015-11-01 19:03:00,8.082
"407",2015-10-30 00:58:00,11.224
"408",2015-10-29 13:43:00,1.406
"409",2015-10-29 06:13:00,1.266
"410",2015-10-30 11:23:00,1.2
"411",2015-10-30 08:58:00,1.042
"412",2015-11-02 19:38:00,3.692
"413",2015-11-01 14:23:00,1.274
"414",2015-10-30 09:33:00,0.95
"415",2015-11-02 19:18:00,3.76
"416",2015-10-30 00:13:00,21.76
"417",2015-11-01 06:23:00,2.57
"418",2015-10-29 16:23:00,3.75
"419",2015-10-30 08:33:00,0.992
"420",2015-10-30 02:48:00,5.62
"421",2015-10-30 08:48:00,0.982
"422",2015-10-31 02:33:00,10.592
"423",2015-11-01 05:28:00,3.124
"424",2015-10-30 02:53:00,4.31
"425",2015-10-31 19:48:00,15.208
"426",2015-11-01 04:53:00,4.51
"427",2015-10-30 12:08:00,1.224
"428",2015-10-29 08:23:00,0.978
"429",2015-10-31 15:18:00,3.324
"430",2015-11-02 01:48:00,11.696
"431",2015-10-29 08:28:00,1.084
"432",2015-11-02 15:08:00,1.64
"433",2015-11-02 10:53:00,0.882
"434",2015-11-01 00:33:00,34.042
"435",2015-10-29 02:18:00,6.546
"436",2015-11-02 21:33:00,6.976
"437",2015-10-30 11:13:00,1.108
"438",2015-10-29 12:18:00,1.016
